                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1115,                  124.6,                 2.3274,                      0,                      0,                      0,                      0,                 5.0676,                 241.86,                 2.9726,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.1685,                 116.15,                 2.9101,                      0,                      0,                      0,                      0,                 5.0639,                 242.13,                 2.9699,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 3.4248,                 118.67,                  2.664,                      0,                      0,                      0,                      0,                   5.06,                 242.63,                 2.9672,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 4.5222,                 111.97,                 3.9939,                      0,                      0,                      0,                      0,                  5.052,                 242.15,                 2.9623,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 5.6836,                 57.436,                 3.8584,                      0,                      0,                      0,                      0,                 5.0411,                 241.93,                 2.9558,             0.00010872,             0.00010872,             0.00010872
                      6,                 4.1176,                  34.01,                 4.5189,                      0,                      0,                      0,                      0,                 5.0277,                 242.08,                  2.948,              0.0001111,              0.0001111,              0.0001111
                      7,                 4.5794,                 39.341,                 3.9019,                      0,                      0,                      0,                      0,                 5.0095,                  241.4,                 2.9374,             0.00010556,             0.00010556,             0.00010556
                      8,                 3.7388,                 22.647,                 3.6366,                      0,                      0,                      0,                      0,                 4.9905,                 240.37,                 2.9265,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 3.7401,                 22.057,                 3.8125,                      0,                      0,                      0,                      0,                  4.981,                 239.85,                 2.9211,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 4.6007,                 32.067,                 3.6132,                      0,                      0,                      0,                      0,                 4.9666,                  239.3,                 2.9129,              4.142e-05,              4.142e-05,              4.142e-05
